,CO2 per cápita (toneladas métricas),intervalos,frecuencias
180,0.530351031,"(-0.00042, 19.969]",8744.0
181,0.482400531,"(-0.00042, 19.969]",8744.0
182,0.464973712,"(-0.00042, 19.969]",8744.0
183,0.565431153,"(-0.00042, 19.969]",8744.0
184,0.486503528,"(-0.00042, 19.969]",8744.0
185,0.462907837,"(-0.00042, 19.969]",8744.0
186,0.398075822,"(-0.00042, 19.969]",8744.0
187,0.380694834,"(-0.00042, 19.969]",8744.0
188,0.372921412,"(-0.00042, 19.969]",8744.0
189,0.473691138,"(-0.00042, 19.969]",8744.0
190,0.307601078,"(-0.00042, 19.969]",8744.0
191,0.844305988,"(-0.00042, 19.969]",8744.0
192,0.781484777,"(-0.00042, 19.969]",8744.0
193,0.5348313,"(-0.00042, 19.969]",8744.0
194,0.515117027,"(-0.00042, 19.969]",8744.0
195,0.627072296,"(-0.00042, 19.969]",8744.0
196,0.633625299,"(-0.00042, 19.969]",8744.0
197,0.625351712,"(-0.00042, 19.969]",8744.0
198,0.786223278,"(-0.00042, 19.969]",8744.0
199,0.543083667,"(-0.00042, 19.969]",8744.0
200,1.086604897,"(-0.00042, 19.969]",8744.0
201,1.069417185,"(-0.00042, 19.969]",8744.0
202,1.200877147,"(-0.00042, 19.969]",8744.0
203,1.311096483,"(-0.00042, 19.969]",8744.0
204,1.369424769,"(-0.00042, 19.969]",8744.0
205,1.430873373,"(-0.00042, 19.969]",8744.0
206,1.401654169,"(-0.00042, 19.969]",8744.0
207,1.35400753,"(-0.00042, 19.969]",8744.0
208,1.258194928,"(-0.00042, 19.969]",8744.0
209,1.374186047,"(-0.00042, 19.969]",8744.0
210,1.439955964,"(-0.00042, 19.969]",8744.0
211,1.181681144,"(-0.00042, 19.969]",8744.0
212,1.11174196,"(-0.00042, 19.969]",8744.0
213,1.166099043,"(-0.00042, 19.969]",8744.0
214,1.333055465,"(-0.00042, 19.969]",8744.0
215,1.3637463,"(-0.00042, 19.969]",8744.0
216,1.519551277,"(-0.00042, 19.969]",8744.0
217,1.558967572,"(-0.00042, 19.969]",8744.0
218,1.753239905,"(-0.00042, 19.969]",8744.0
219,1.989497923,"(-0.00042, 19.969]",8744.0
220,2.515914398,"(-0.00042, 19.969]",8744.0
221,2.303897417,"(-0.00042, 19.969]",8744.0
222,1.849006691,"(-0.00042, 19.969]",8744.0
223,1.910633637,"(-0.00042, 19.969]",8744.0
224,2.013584562,"(-0.00042, 19.969]",8744.0
225,2.275876391,"(-0.00042, 19.969]",8744.0
226,2.53062504,"(-0.00042, 19.969]",8744.0
227,2.898208518,"(-0.00042, 19.969]",8744.0
228,1.93505831,"(-0.00042, 19.969]",8744.0
229,2.693023914,"(-0.00042, 19.969]",8744.0
230,2.624856785,"(-0.00042, 19.969]",8744.0
231,2.683239919,"(-0.00042, 19.969]",8744.0
232,2.694291374,"(-0.00042, 19.969]",8744.0
233,2.658015382,"(-0.00042, 19.969]",8744.0
234,2.665356221,"(-0.00042, 19.969]",8744.0
235,2.414060815,"(-0.00042, 19.969]",8744.0
236,2.331598531,"(-0.00042, 19.969]",8744.0
237,2.783243075,"(-0.00042, 19.969]",8744.0
238,2.278386827,"(-0.00042, 19.969]",8744.0
239,1.215676857,"(-0.00042, 19.969]",8744.0
240,0.73519813,"(-0.00042, 19.969]",8744.0
241,0.726062789,"(-0.00042, 19.969]",8744.0
242,0.601346953,"(-0.00042, 19.969]",8744.0
243,0.654537133,"(-0.00042, 19.969]",8744.0
244,0.636625313,"(-0.00042, 19.969]",8744.0
245,0.49036506,"(-0.00042, 19.969]",8744.0
246,0.560271437,"(-0.00042, 19.969]",8744.0
247,0.960164412,"(-0.00042, 19.969]",8744.0
248,0.978174681,"(-0.00042, 19.969]",8744.0
249,1.053304176,"(-0.00042, 19.969]",8744.0
250,1.229540709,"(-0.00042, 19.969]",8744.0
251,1.412697196,"(-0.00042, 19.969]",8744.0
252,1.376212735,"(-0.00042, 19.969]",8744.0
253,1.412498211,"(-0.00042, 19.969]",8744.0
254,1.291547969,"(-0.00042, 19.969]",8744.0
255,1.507535815,"(-0.00042, 19.969]",8744.0
256,1.580113283,"(-0.00042, 19.969]",8744.0
257,1.533178094,"(-0.00042, 19.969]",8744.0
258,1.515632053,"(-0.00042, 19.969]",8744.0
259,1.60703771,"(-0.00042, 19.969]",8744.0
260,0.118785902,"(-0.00042, 19.969]",8744.0
261,0.108936971,"(-0.00042, 19.969]",8744.0
262,0.16335531,"(-0.00042, 19.969]",8744.0
263,0.175712369,"(-0.00042, 19.969]",8744.0
264,0.132650846,"(-0.00042, 19.969]",8744.0
265,0.146369696,"(-0.00042, 19.969]",8744.0
266,0.159358568,"(-0.00042, 19.969]",8744.0
267,5.336736892,"(-0.00042, 19.969]",8744.0
268,6.708216413,"(-0.00042, 19.969]",8744.0
269,99.84043878,"(79.872, 99.84]",7.0
270,64.762888963,"(59.904, 79.872]",26.0
271,76.988875563,"(59.904, 79.872]",26.0
272,72.37388334,"(59.904, 79.872]",26.0
273,80.012044731,"(79.872, 99.84]",7.0
274,69.315896962,"(59.904, 79.872]",26.0
275,58.483978805,"(39.937, 59.904]",36.0
276,63.742797616,"(59.904, 79.872]",26.0
277,53.656931116,"(39.937, 59.904]",36.0
278,54.163321223,"(39.937, 59.904]",36.0
279,39.477561272,"(19.969, 39.937]",216.0
280,36.295325776,"(19.969, 39.937]",216.0
281,33.717635403,"(19.969, 39.937]",216.0
282,31.82772295,"(19.969, 39.937]",216.0
283,29.011556997,"(19.969, 39.937]",216.0
284,36.238132656,"(19.969, 39.937]",216.0
285,36.970516123,"(19.969, 39.937]",216.0
286,33.018554428,"(19.969, 39.937]",216.0
287,31.397817367,"(19.969, 39.937]",216.0
288,29.969397188,"(19.969, 39.937]",216.0
289,31.824900401,"(19.969, 39.937]",216.0
290,28.711160292,"(19.969, 39.937]",216.0
